"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","14","1","1","23.710482","0","87"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","28","1","1","54.518421","0","319"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","66","1","1","153.485138","0","915"
"/MovieRenderPipeline/Blueprints/M_MoviePipelineRenderPreview.M_MoviePipelineRenderPreview","0","11","1","1","9.345733","0","76"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","14.155710","0","26"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","12","2","1","19.253437","0","89"
"/ControlRig/M_Manip.M_Manip","0","12","2","1","16.734627","0","57"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","66","2","2","112.307991","0","792"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","5.688146","0","13"
"/MovieRenderPipeline/Materials/MovieRenderQueue_WorldDepth.MovieRenderQueue_WorldDepth","0","6","1","1","6.719371","0","26"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","6","1","8.950871","0","11"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","98","1","1","142.203293","0","2233"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","56","1","1","538.670044","0","680"
"/MovieRenderPipeline/Materials/MovieRenderQueue_MotionVectors.MovieRenderQueue_MotionVectors","0","6","1","1","6.278962","0","23"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","26","3","1","33.972462","0","291"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","125","1","1","197.425064","0","3624"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","167","5","1","313.403961","0","5310"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1488","1","1","2198.178955","0","155466"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","1","1","44.297852","0","196"
"/OpenXR/Devices/M_XRController.M_XRController","0","42","3","3","69.416275","0","225"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","9","1","1","12.545505","0","31"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","61","10","6","99.021873","0","410"
"/Game/Particles/Starter_Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","33","1","1","33.422760","0","436"
"/Game/Particles/Starter_Particles/Materials/M_Spark.M_Spark","0","27","1","1","26.601044","0","271"
"/Game/Particles/Starter_Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","72","1","1","97.271309","0","1204"
"/Game/Materials/M_Metal_Copper.M_Metal_Copper","0","23","1","1","38.832306","0","236"
"/Game/Particles/Starter_Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","27","1","1","27.919302","0","276"
"/Game/Particles/Starter_Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","27","1","1","27.208839","0","323"
"/Game/Particles/Starter_Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","96","1","1","119.290070","0","1927"
"/Game/Particles/Starter_Particles/Materials/M_Burst.M_Burst","0","33","1","1","33.348415","0","248"
"/Game/Materials/Hand_Painted_Materials/Enemy/MM_Enemey.MM_Enemey","0","28","1","1","49.370712","0","260"
"/Game/Materials/Hand_Painted_Materials/MM_basicMaterial.MM_basicMaterial","0","23","1","1","40.817448","0","276"
"/Game/Materials/Environment/MM_SkyStars.MM_SkyStars","0","24","1","1","52.619022","0","214"
"/Game/Materials/Environment/MM_Moon.MM_Moon","0","23","1","1","58.611992","0","189"
"/Game/Materials/Rock_Materials/MM_Rock.MM_Rock","0","31","2","1","63.744545","0","360"
"/Game/Materials/Architecture/MM_Arictecture_Basic.MM_Arictecture_Basic","0","23","4","1","41.895355","0","214"
"/Game/Materials/Environment/MM_Fog.MM_Fog","0","6","2","1","6.329705","0","24"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","6","1","9.098207","0","8"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","6.518391","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","43","1","1","38.668068","0","500"
"/Game/Particles/Starter_Particles/Materials/M_radial_ramp.M_radial_ramp","0","54","1","1","59.680508","0","649"
"/Game/Particles/Starter_Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","54","1","1","60.036934","0","649"
"/Game/Materials/VFX/MM_Sparks.MM_Sparks","0","33","1","1","58.626186","0","286"
"/Game/Materials/VFX/MM_Portal.MM_Portal","0","33","1","1","56.936127","0","321"
"/Game/Materials/VFX/MM_Fire.MM_Fire","0","33","1","1","59.575813","0","304"
"/Game/Materials/Environment/MM_LSC_Mat.MM_LSC_Mat","0","255","7","5","503.226318","0","2426"
"/Game/Materials/Architecture/MM_ArictectureAdvanced1.MM_ArictectureAdvanced1","0","23","1","1","40.350342","0","195"
"/Game/Materials/Architecture/MM_ArictectureAdvanced.MM_ArictectureAdvanced","0","23","1","1","42.517056","0","186"
"/Game/Materials/Sky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","6","1","1","13.866518","0","26"
"/Game/Materials/Sky/M_AdvancedSkyDome.M_AdvancedSkyDome","0","10","1","1","23.335068","0","61"
"/Game/Materials/Foiliage/MM_Leafs.MM_Leafs","0","111","1","1","211.056625","0","2709"
"/Game/Materials/Crystal/MM_Crystal.MM_Crystal","0","38","1","1","323.526611","76","1454"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","119","1","1","149.202835","0","3072"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","1","1","0.000000","0","13"
"/Engine/EditorResources/FieldNodes/_Resources/M_FieldRadiusPreview.M_FieldRadiusPreview","0","24","1","1","43.903492","0","263"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","58","1","1","130.030655","0","732"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","84","1","1","187.915909","0","1634"
"/Game/Tech/BuildingSystem/Materials/ProgressMaterial.ProgressMaterial","0","24","1","1","29.812038","0","205"
"/Game/Tech/BuildingSystem/Materials/LoadingMaterial.LoadingMaterial","0","24","1","1","29.465536","0","222"
"/Game/Materials/VFX/M_WindLines.M_WindLines","0","18","1","1","20.479103","0","150"
"/Game/Materials/VFX/M_Smoke.M_Smoke","0","72","1","1","124.445602","0","1284"
"/Game/Materials/VFX/MM_WindLines.MM_WindLines","0","36","1","1","45.135624","0","392"
"/Game/Materials/VFX/MM_Smoke.MM_Smoke","0","72","1","1","122.235565","0","1163"
"/Game/Particles/MM_Flash.MM_Flash","0","51","1","1","83.997658","0","708"
"/Game/Materials/Sky/SkyAtmosphere_MaterialSkyDome.SkyAtmosphere_MaterialSkyDome","0","4","1","1","6.626791","0","13"
"/Game/Materials/Foiliage/Flowers/MM_Flower.MM_Flower","0","126","1","1","267.444122","0","2620"
"/Game/Materials/Foiliage/MM_Grass.MM_Grass","0","84","1","1","170.157791","0","1470"
"/Game/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","0","56","2","1","91.514648","0","822"
"/Game/FirstPerson/FirstPersonArms/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","56","1","1","92.211411","0","803"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","0","36","1","1","52.483654","0","364"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","0","36","5","1","55.694687","0","378"
"/Game/FirstPerson/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","92","6","4","150.787491","0","739"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","0","150","4","2","195.650406","0","2236"
